"idhod","hodnota","stapro_kod","typezar_cis","typezar_kod","pnet_cis","pnet_kod","pocdospvdom_cis","pocdospvdom_kod","pocdetivdom_cis","pocdetivdom_kod","velskupobce_cis","velskupobce_kod","kvartilcpdom_cis","kvartilcpdom_kod","rok","uzemi_cis","uzemi_kod","uzemi_txt","stapro_txt","typezar_txt","pnet_text","pocdospvdom_txt","pocdetivdom_txt","velskupobce_txt","kvartilcpdom_txt"
"916836724","54","7640",,,"5725","02",,,,,"7700","445000799999000",,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,"50000 a více",
"916838161","54.7","7640",,,,,,,,,"7700","432000641000000",,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,,,,"2000 – 9999",
"916836943","64.3","7640",,,"5725","02",,,,,,,"7700","410050610075000","2010","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,,"třetí kvartil"
"916838174","56.4","7640",,,,,,,,,"7700","441000645000000",,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,,,,"10000 – 49999",
"916836535","18.8","7640",,,,,,,,,,,"7700","400000610025000","2010","97","19","Česká republika","Domácností s přístupem k internetu",,,,,,"první (nejnižší) kvartil"
"916837922","42.9","7640",,,"5725","02",,,"7700","400000600001000",,,,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,"0",,
"916838083","53","7640",,,,,,,,,"7700","399999632000000",,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,,,,"do 1999",
"916836522","58.9","7640",,,,,,,,,"7700","445000799999000",,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,,,,"50000 a více",
"916837593","56","7640",,,,,,,,,,,,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,,,,,
"916837045","81.4","7640",,,"5725","02",,,,,,,"7700","410075620100000","2010","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,,"čtvrtý (nejvyšší) kvartil"
"916836827","17.7","7640",,,"5725","02",,,,,,,"7700","400000610025000","2010","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,,"první (nejnižší) kvartil"
"916837847","51.2","7640",,,"5725","02",,,,,,,,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,,
"916838070","83.1","7640",,,,,"7700","400003799999000","7700","400001799999000",,,,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,,"3 a více","1 a více",,
"916836930","38.1","7640",,,"5725","02",,,,,,,"7700","410025610050000","2010","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,,"druhý kvartil"
"916836609","42","7640",,,,,,,,,,,"7700","410025610050000","2010","97","19","Česká republika","Domácností s přístupem k internetu",,,,,,"druhý kvartil"
"916837703","26.3","7640",,,,,"7700","400001600002000","7700","400000600001000",,,,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,,"1","0",,
"916837800","41.7","7640",,,,,"7700","400002600003000","7700","400000600001000",,,,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,,"2","0",,
"916838090","72.7","7640",,,"5725","02",,,"7700","400001799999000",,,,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,"1 a více",,
"916837902","79.8","7640",,,,,,,"7700","400001799999000",,,,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,,,"1 a více",,
"916836650","50.1","7640",,,"5725","02",,,,,"7700","432000641000000",,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,"2000 – 9999",
"916836711","52.1","7640",,,"5725","02",,,,,"7700","441000645000000",,,"2010","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,"10000 – 49999",
"916836622","71.7","7640",,,,,,,,,,,"7700","410050610075000","2010","97","19","Česká republika","Domácností s přístupem k internetu",,,,,,"třetí kvartil"
"916837687","38.6","7638","183","3",,,"7700","400001600002000","7700","400001799999000",,,,,"2007","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"1","1 a více",,
"916837333","17.3","7638","183","3",,,"7700","400001600002000","7700","400000600001000",,,,,"2007","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"1","0",,
"916837880","67.6","7638","183","3",,,"7700","400003799999000","7700","400001799999000",,,,,"2007","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"3 a více","1 a více",,
"916837788","65.3","7638","183","3",,,"7700","400002600003000","7700","400001799999000",,,,,"2007","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"2","1 a více",,
"916837221","31.4","7638","183","3",,,,,"7700","400000600001000",,,,,"2007","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,"0",,
"916837466","60.9","7638","183","3",,,"7700","400003799999000","7700","400000600001000",,,,,"2007","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"3 a více","0",,
"916837451","28.6","7638","183","3",,,"7700","400002600003000","7700","400000600001000",,,,,"2007","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"2","0",,
"916837206","39.6","7638","183","3",,,,,,,,,,,"2007","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,,
"916837575","63","7638","183","3",,,,,"7700","400001799999000",,,,,"2007","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,"1 a více",,
"916837991","52.4","7640",,,,,"7700","400002600003000","7700","400001799999000",,,,,"2007","97","19","Česká republika","Domácností s přístupem k internetu",,,"2","1 a více",,
"916837812","50.7","7640",,,,,"7700","400003799999000","7700","400000600001000",,,,,"2007","97","19","Česká republika","Domácností s přístupem k internetu",,,"3 a více","0",,
"916837605","25.5","7640",,,,,,,"7700","400000600001000",,,,,"2007","97","19","Česká republika","Domácností s přístupem k internetu",,,,"0",,
